DGRP_100,25.21,0.20
DGRP_101,15.91,0.64
DGRP_105,19.71,0.84
DGRP_109,9.61,0.48
DGRP_129,31.71,0.40
DGRP_136,24.61,0.94
DGRP_138,26.41,0.76
DGRP_142,25.56,0.60
DGRP_149,34.61,0.84
DGRP_153,13.76,0.67
DGRP_158,20.12,0.12
DGRP_161,19.56,0.24
DGRP_176,11.96,0.64
DGRP_177,16.86,0.48
DGRP_181,20.41,0.32
DGRP_189,23.21,0.20
DGRP_195,12.86,0.46
DGRP_208,37.81,0.96
DGRP_21,16.41,0.28
DGRP_217,42.91,0.64
DGRP_223,18.01,0.00
DGRP_227,18.86,0.92
DGRP_228,5.11,0.07
DGRP_229,11.36,0.60
DGRP_233,33.51,0.52
DGRP_235,8.56,0.44
DGRP_237,13.01,0.28
DGRP_239,22.46,0.64
DGRP_256,28.16,0.42
DGRP_26,23.41,0.20
DGRP_28,18.96,0.48
DGRP_280,27.26,0.44
DGRP_287,28.01,0.24
DGRP_301,36.76,0.67
DGRP_303,13.86,0.78
DGRP_304,24.71,0.44
DGRP_306,68.01,0.61
DGRP_307,13.46,0.52
DGRP_309,20.96,0.36
DGRP_31,23.81,0.40
DGRP_310,15.46,0.80
DGRP_313,18.54,0.24
DGRP_315,16.05,0.68
DGRP_317,28.41,0.36
DGRP_318,35.26,0.24
DGRP_319,17.21,0.40
DGRP_32,8.31,0.52
DGRP_320,25.82,0.73
DGRP_321,55.92,0.88
DGRP_324,81.34,0.80
DGRP_325,12.91,0.28
DGRP_332,43.81,0.40
DGRP_335,20.66,0.56
DGRP_336,25.81,0.44
DGRP_338,20.61,0.20
DGRP_340,11.21,0.40
DGRP_348,18.21,0.60
DGRP_350,46.31,0.52
DGRP_352,4.46,0.72
DGRP_354,13.51,0.04
DGRP_355,32.26,0.56
DGRP_356,9.91,0.52
DGRP_357,42.26,0.60
DGRP_358,48.31,0.78
DGRP_359,16.96,0.60
DGRP_360,23.51,0.90
DGRP_361,16.36,0.56
DGRP_362,36.46,0.67
DGRP_365,37.81,0.46
DGRP_367,11.76,0.40
DGRP_370,19.56,0.60
DGRP_371,18.31,0.68
DGRP_373,15.76,0.20
DGRP_374,10.41,0.64
DGRP_375,24.26,0.84
DGRP_377,25.96,0.52
DGRP_379,12.11,0.44
DGRP_38,16.01,0.68
DGRP_380,12.97,0.70
DGRP_381,22.16,0.28
DGRP_382,16.71,0.24
DGRP_383,12.41,0.72
DGRP_385,27.21,0.80
DGRP_386,21.06,0.04
DGRP_390,19.31,0.00
DGRP_391,42.02,0.86
DGRP_392,43.46,0.44
DGRP_397,14.46,0.04
DGRP_399,38.97,0.86
DGRP_40,13.56,0.88
DGRP_405,13.16,0.88
DGRP_406,51.47,0.12
DGRP_409,18.06,0.40
DGRP_41,31.81,0.52
DGRP_42,28.41,0.64
DGRP_426,20.06,0.40
DGRP_427,47.32,0.72
DGRP_437,19.28,0.58
DGRP_439,14.61,0.68
DGRP_440,10.46,0.64
DGRP_441,18.26,0.25
DGRP_443,23.36,0.48
DGRP_45,8.91,0.20
DGRP_461,24.56,0.36
DGRP_48,19.11,0.60
DGRP_486,22.56,0.76
DGRP_49,31.66,0.60
DGRP_491,23.21,0.52
DGRP_492,39.91,0.80
DGRP_502,13.46,0.16
DGRP_505,10.11,0.20
DGRP_508,17.51,0.44
DGRP_509,20.46,1.00
DGRP_513,34.37,0.24
DGRP_517,16.92,0.62
DGRP_528,18.71,0.48
DGRP_530,45.12,0.56
DGRP_531,18.01,0.60
DGRP_535,65.01,0.24
DGRP_551,12.21,0.52
DGRP_555,19.62,0.44
DGRP_559,13.91,0.32
DGRP_563,37.01,0.76
DGRP_57,106.91,1.00
DGRP_584,42.91,0.12
DGRP_589,15.31,0.12
DGRP_59,48.56,0.40
DGRP_595,12.31,0.68
DGRP_596,24.56,0.24
DGRP_639,36.71,0.70
DGRP_642,26.86,0.40
DGRP_646,35.37,0.20
DGRP_69,27.01,0.40
DGRP_703,31.26,0.32
DGRP_705,10.42,0.32
DGRP_707,65.08,0.86
DGRP_712,20.58,0.76
DGRP_714,26.58,0.27
DGRP_716,52.86,0.48
DGRP_721,42.81,0.16
DGRP_727,13.41,0.52
DGRP_73,22.66,0.44
DGRP_730,16.53,0.56
DGRP_732,38.18,0.94
DGRP_737,23.66,0.60
DGRP_738,32.81,0.48
DGRP_748,44.36,0.56
DGRP_75,33.51,0.84
DGRP_757,26.06,0.44
DGRP_761,44.21,0.40
DGRP_765,43.21,0.80
DGRP_774,52.62,0.60
DGRP_776,33.76,0.12
DGRP_783,45.96,0.54
DGRP_786,28.51,0.32
DGRP_787,27.86,0.20
DGRP_790,48.06,0.04
DGRP_796,54.46,0.36
DGRP_799,31.72,0.46
DGRP_801,42.56,0.80
DGRP_802,40.46,0.44
DGRP_804,26.01,0.64
DGRP_805,28.61,0.92
DGRP_808,59.46,0.80
DGRP_810,33.41,0.32
DGRP_812,28.58,0.68
DGRP_818,57.91,0.40
DGRP_819,51.71,0.44
DGRP_820,50.31,0.31
DGRP_821,13.83,0.08
DGRP_822,73.01,0.28
DGRP_83,14.56,0.76
DGRP_832,17.41,0.60
DGRP_837,44.08,0.44
DGRP_843,28.01,0.44
DGRP_849,44.76,0.84
DGRP_85,31.01,0.64
DGRP_850,17.66,0.40
DGRP_852,66.08,0.61
DGRP_853,34.11,0.68
DGRP_855,11.66,0.64
DGRP_857,24.66,0.76
DGRP_859,18.75,0.74
DGRP_861,24.06,0.76
DGRP_879,35.76,0.12
DGRP_88,28.46,0.36
DGRP_882,25.25,0.32
DGRP_884,19.21,0.64
DGRP_887,24.86,0.56
DGRP_890,28.53,0.24
DGRP_892,29.86,0.80
DGRP_894,57.11,0.48
DGRP_897,61.88,0.76
DGRP_900,31.63,0.84
DGRP_907,18.76,0.56
DGRP_908,36.71,0.80
DGRP_91,25.36,0.52
DGRP_911,16.51,0.56
DGRP_913,55.16,0.44
DGRP_93,24.66,0.12