female,male,dgrp,female,female_os,male,os_male
DGRP_812,DGRP_26,0,DGRP_812,0.16,DGRP_26,0.12
DGRP_890,DGRP_26,0.28,DGRP_890,0.6,DGRP_26,0.12
DGRP_721,DGRP_45,0,DGRP_721,0.08,DGRP_45,0.24
DGRP_855,DGRP_45,0.16,DGRP_855,0.88,DGRP_45,0.24
DGRP_812,DGRP_57,0.2,DGRP_812,0.16,DGRP_57,0.92
DGRP_890,DGRP_57,0.88,DGRP_890,0.6,DGRP_57,0.92
DGRP_721,DGRP_75,0.12,DGRP_721,0.08,DGRP_75,0.72
DGRP_855,DGRP_75,0.68,DGRP_855,0.88,DGRP_75,0.72
DGRP_707,DGRP_93,0.12,DGRP_707,0.36,DGRP_93,0.16
DGRP_783,DGRP_93,0,DGRP_783,0.84,DGRP_93,0.16
DGRP_589,DGRP_100,0.16,DGRP_589,0.76,DGRP_100,0.24
DGRP_705,DGRP_100,0,DGRP_705,0.04,DGRP_100,0.24
DGRP_707,DGRP_105,0.24,DGRP_707,0.36,DGRP_105,0.68
DGRP_783,DGRP_105,0.32,DGRP_783,0.84,DGRP_105,0.68
DGRP_589,DGRP_136,0.84,DGRP_589,0.76,DGRP_136,0.52
DGRP_705,DGRP_136,0.08,DGRP_705,0.04,DGRP_136,0.52
DGRP_513,DGRP_149,0.24,DGRP_513,0.8,DGRP_149,0.4
DGRP_646,DGRP_149,0.16,DGRP_646,0.24,DGRP_149,0.4
DGRP_513,DGRP_189,0.04,DGRP_513,0.8,DGRP_189,0
DGRP_646,DGRP_189,0.2,DGRP_646,0.24,DGRP_189,0
DGRP_441,DGRP_208,0.72,DGRP_441,1,DGRP_208,0.48
DGRP_630,DGRP_208,0.2,DGRP_630,0.28,DGRP_208,0.48
DGRP_441,DGRP_223,0.08,DGRP_441,1,DGRP_223,0
DGRP_630,DGRP_223,0,DGRP_630,0.28,DGRP_223,0
DGRP_440,DGRP_228,0.04,DGRP_440,0.84,DGRP_228,0
DGRP_508,DGRP_228,0,DGRP_508,0.12,DGRP_228,0
DGRP_440,DGRP_310,0.48,DGRP_440,0.84,DGRP_310,0.52
DGRP_508,DGRP_310,0.24,DGRP_508,0.12,DGRP_310,0.52
DGRP_381,DGRP_321,0.12,DGRP_381,0.36,DGRP_321,0.64
DGRP_386,DGRP_321,0.32,DGRP_386,0.76,DGRP_321,0.64
DGRP_381,DGRP_338,0.08,DGRP_381,0.36,DGRP_338,0.12
DGRP_386,DGRP_338,0.2,DGRP_386,0.76,DGRP_338,0.12
DGRP_380,DGRP_354,0,DGRP_380,0.52,DGRP_354,0.2
DGRP_383,DGRP_354,0.28,DGRP_383,0.8,DGRP_354,0.2
DGRP_380,DGRP_360,0.44,DGRP_380,0.52,DGRP_360,0.72
DGRP_383,DGRP_360,0.92,DGRP_383,0.8,DGRP_360,0.72
DGRP_348,DGRP_375,0.04,DGRP_348,0.04,DGRP_375,0.48
DGRP_382,DGRP_375,0.4,DGRP_382,0.8,DGRP_375,0.48
DGRP_321,DGRP_385,0.24,DGRP_321,0.2,DGRP_385,0.8
DGRP_370,DGRP_385,0.92,DGRP_370,0.64,DGRP_385,0.8
DGRP_348,DGRP_390,0,DGRP_348,0.04,DGRP_390,0.04
DGRP_382,DGRP_390,0,DGRP_382,0.8,DGRP_390,0.04
DGRP_315,DGRP_391,0.36,DGRP_315,0.28,DGRP_391,0.72
DGRP_362,DGRP_391,0.96,DGRP_362,0.88,DGRP_391,0.72
DGRP_313,DGRP_395,0.36,DGRP_313,0.28,DGRP_395,0.8
DGRP_319,DGRP_395,0.8,DGRP_319,0.72,DGRP_395,0.8
DGRP_321,DGRP_397,0,DGRP_321,0.2,DGRP_397,0.24
DGRP_370,DGRP_397,0.16,DGRP_370,0.64,DGRP_397,0.24
DGRP_307,DGRP_399,0.64,DGRP_307,0.56,DGRP_399,0.6
DGRP_318,DGRP_399,0.68,DGRP_318,0.72,DGRP_399,0.6
DGRP_315,DGRP_406,0,DGRP_315,0.28,DGRP_406,0.16
DGRP_362,DGRP_406,0.24,DGRP_362,0.88,DGRP_406,0.16
DGRP_313,DGRP_502,0,DGRP_313,0.28,DGRP_502,0
DGRP_319,DGRP_502,0.04,DGRP_319,0.72,DGRP_502,0
DGRP_301,DGRP_509,0.16,DGRP_301,0.4,DGRP_509,0.4
DGRP_310,DGRP_509,0.28,DGRP_310,0.92,DGRP_509,0.4
DGRP_307,DGRP_584,0.04,DGRP_307,0.56,DGRP_584,0
DGRP_318,DGRP_584,0,DGRP_318,0.72,DGRP_584,0
DGRP_301,DGRP_589,0.04,DGRP_301,0.4,DGRP_589,0.12
DGRP_310,DGRP_589,0.16,DGRP_310,0.92,DGRP_589,0.12
DGRP_228,DGRP_627,0.08,DGRP_228,0.64,DGRP_627,0.12
DGRP_280,DGRP_627,0.04,DGRP_280,0.4,DGRP_627,0.12
DGRP_195,DGRP_721,0.04,DGRP_195,0.92,DGRP_721,0.04
DGRP_239,DGRP_721,0.04,DGRP_239,0.48,DGRP_721,0.04
DGRP_228,DGRP_732,0.12,DGRP_228,0.64,DGRP_732,0.52
DGRP_280,DGRP_732,0.04,DGRP_280,0.4,DGRP_732,0.52
DGRP_195,DGRP_765,0.96,DGRP_195,0.92,DGRP_765,0.68
DGRP_239,DGRP_765,0.4,DGRP_239,0.48,DGRP_765,0.68
DGRP_149,DGRP_776,0.2,DGRP_149,0.72,DGRP_776,0.08
DGRP_176,DGRP_776,0.36,DGRP_176,0.52,DGRP_776,0.08
DGRP_149,DGRP_805,0.68,DGRP_149,0.72,DGRP_805,0.48
DGRP_176,DGRP_805,0.52,DGRP_176,0.52,DGRP_805,0.48
DGRP_57,DGRP_808,0.44,DGRP_57,0.8,DGRP_808,0.4
DGRP_136,DGRP_808,0,DGRP_136,0.24,DGRP_808,0.4
DGRP_57,DGRP_821,0,DGRP_57,0.8,DGRP_821,0.2
DGRP_136,DGRP_821,0,DGRP_136,0.24,DGRP_821,0.2
DGRP_45,DGRP_879,0.12,DGRP_45,0.28,DGRP_879,0.24
DGRP_49,DGRP_879,0.04,DGRP_49,0.96,DGRP_879,0.24
DGRP_45,DGRP_900,0.44,DGRP_45,0.28,DGRP_900,0.68
DGRP_49,DGRP_900,0.84,DGRP_49,0.96,DGRP_900,0.68