DGRP_100,9.325,9.990,0.64,0.20
DGRP_101,9.358,10.139,0.96,0.64
DGRP_105,9.507,10.126,0.40,0.84
DGRP_109,9.368,9.959,0.72,0.48
DGRP_129,9.595,10.021,0.56,0.40
DGRP_136,9.200,9.636,0.26,0.94
DGRP_138,9.151,9.954,0.84,0.76
DGRP_142,9.438,10.233,0.88,0.60
DGRP_149,9.539,10.128,1.00,0.84
DGRP_153,9.449,10.251,0.87,0.67
DGRP_158,9.474,9.995,0.32,0.12
DGRP_161,9.419,10.129,0.92,0.24
DGRP_176,9.779,10.266,0.36,0.64
DGRP_177,9.748,10.512,0.76,0.48
DGRP_181,9.363,10.107,0.40,0.32
DGRP_189,9.146,9.572,0.88,0.20
DGRP_195,9.641,10.052,0.96,0.46
DGRP_208,9.297,9.921,0.86,0.96
DGRP_21,9.233,9.879,0.90,0.28
DGRP_217,9.286,9.995,0.84,0.64
DGRP_223,9.487,10.085,0.92,0.00
DGRP_227,9.375,10.323,0.88,0.92
DGRP_228,9.337,9.951,0.96,0.07
DGRP_229,9.387,10.013,0.64,0.60
DGRP_233,9.268,9.996,0.92,0.52
DGRP_235,9.288,9.977,0.80,0.44
DGRP_237,9.611,10.350,0.92,0.28
DGRP_239,9.562,9.915,0.12,0.64
DGRP_256,9.575,10.049,0.72,0.42
DGRP_26,9.362,10.119,0.84,0.20
DGRP_28,9.323,9.966,0.52,0.48
DGRP_280,9.578,10.249,0.44,0.44
DGRP_287,9.831,10.333,0.92,0.24
DGRP_301,9.720,10.269,0.36,0.67
DGRP_303,9.136,9.337,0.84,0.78
DGRP_304,9.487,10.098,0.70,0.44
DGRP_306,9.861,10.399,0.60,0.61
DGRP_309,9.565,10.238,0.56,0.36
DGRP_31,9.351,9.976,0.96,0.40
DGRP_310,9.678,10.497,1.00,0.80
DGRP_313,9.571,10.169,0.41,0.24
DGRP_315,9.608,10.083,0.27,0.68
DGRP_317,9.375,10.002,0.96,0.36
DGRP_318,9.696,10.191,0.96,0.24
DGRP_319,9.679,9.995,1.00,0.40
DGRP_32,9.068,9.868,0.88,0.52
DGRP_320,9.550,9.961,0.72,0.73
DGRP_321,9.274,9.757,0.04,0.88
DGRP_324,9.488,10.133,0.94,0.80
DGRP_325,9.438,10.100,0.68,0.28
DGRP_332,9.353,9.797,0.90,0.40
DGRP_335,9.407,9.990,0.74,0.56
DGRP_336,9.369,10.037,0.76,0.44
DGRP_338,9.603,10.077,0.52,0.20
DGRP_340,9.405,10.009,0.92,0.40
DGRP_348,9.318,9.943,0.12,0.60
DGRP_350,9.220,9.680,0.56,0.52
DGRP_352,9.676,10.142,0.84,0.72
DGRP_354,9.252,10.117,0.80,0.04
DGRP_355,9.339,10.216,0.92,0.56
DGRP_356,9.579,9.649,0.64,0.52
DGRP_357,9.547,9.743,0.64,0.60
DGRP_358,9.253,9.775,0.42,0.78
DGRP_359,9.387,9.938,0.92,0.60
DGRP_360,9.457,10.182,0.60,0.90
DGRP_361,9.598,10.252,0.60,0.56
DGRP_362,9.489,10.208,0.96,0.67
DGRP_365,9.657,10.120,0.57,0.46
DGRP_367,9.259,10.094,0.80,0.40
DGRP_370,9.270,9.808,0.96,0.60
DGRP_371,9.543,10.000,0.84,0.68
DGRP_373,9.451,10.227,0.92,0.20
DGRP_374,9.599,9.769,0.58,0.64
DGRP_375,9.898,10.309,0.70,0.84
DGRP_377,9.677,10.373,0.72,0.52
DGRP_379,9.406,9.769,0.46,0.44
DGRP_38,9.384,10.070,0.96,0.68
DGRP_380,9.402,10.110,0.32,0.70
DGRP_381,9.286,10.288,0.40,0.28
DGRP_382,9.553,9.981,0.96,0.24
DGRP_383,9.542,10.197,0.96,0.72
DGRP_385,9.562,9.923,1.00,0.80
DGRP_386,9.234,10.148,0.96,0.04
DGRP_390,9.291,10.094,0.92,0.00
DGRP_391,9.268,9.559,0.82,0.86
DGRP_392,9.864,10.084,0.72,0.44
DGRP_395,9.637,9.857,0.76,0.88
DGRP_397,9.628,9.991,0.80,0.04
DGRP_399,9.590,10.029,0.58,0.86
DGRP_40,9.625,10.114,0.76,0.88
DGRP_405,9.528,10.047,0.84,0.88
DGRP_406,9.441,9.942,0.84,0.12
DGRP_409,9.429,9.948,0.88,0.40
DGRP_41,9.428,9.856,0.56,0.52
DGRP_42,9.305,10.042,0.68,0.64
DGRP_426,9.222,10.238,0.52,0.40
DGRP_427,9.602,10.046,0.78,0.72
DGRP_437,9.380,10.019,0.60,0.58
DGRP_439,9.816,10.331,0.48,0.68
DGRP_440,9.516,10.201,1.00,0.64
DGRP_441,9.365,9.877,1.00,0.25
DGRP_443,9.538,10.422,0.92,0.48
DGRP_45,9.577,9.925,0.20,0.20
DGRP_461,9.148,9.957,0.64,0.36
DGRP_48,9.527,10.167,0.76,0.60
DGRP_486,9.811,10.125,0.59,0.76
DGRP_49,9.241,9.950,1.00,0.60
DGRP_491,9.375,9.824,0.52,0.52
DGRP_492,9.135,9.893,0.96,0.80
DGRP_502,9.466,9.745,0.67,0.16
DGRP_505,9.138,9.821,0.92,0.20
DGRP_508,9.279,10.454,0.24,0.44
DGRP_509,9.430,10.128,0.56,1.00
DGRP_513,9.474,10.165,0.96,0.24
DGRP_517,9.691,10.385,0.55,0.62
DGRP_528,9.577,10.503,0.80,0.48
DGRP_530,9.768,10.136,0.96,0.56
DGRP_531,9.477,10.222,0.44,0.60
DGRP_535,9.881,10.429,0.92,0.24
DGRP_551,9.747,10.146,0.96,0.52
DGRP_555,9.595,10.154,0.76,0.44
DGRP_559,9.030,9.679,0.80,0.32
DGRP_563,9.121,10.035,0.90,0.76
DGRP_566,9.426,9.833,0.72,0.32
DGRP_57,9.237,9.874,1.00,1.00
DGRP_584,9.305,9.808,0.80,0.12
DGRP_589,9.623,10.008,0.96,0.12
DGRP_59,9.538,9.850,0.76,0.40
DGRP_595,9.499,10.268,0.88,0.68
DGRP_596,9.279,10.133,0.48,0.24
DGRP_627,9.534,10.155,0.76,0.16
DGRP_630,9.776,10.222,0.36,0.28
DGRP_634,9.038,9.870,0.36,0.56
DGRP_639,9.414,10.199,0.47,0.70
DGRP_642,9.637,9.980,0.68,0.40
DGRP_69,9.394,10.165,0.50,0.40
DGRP_703,9.432,9.894,0.68,0.32
DGRP_705,9.786,10.246,0.32,0.32
DGRP_707,9.845,10.341,0.24,0.86
DGRP_712,9.562,9.814,0.60,0.76
DGRP_714,9.450,10.089,0.71,0.27
DGRP_716,9.292,10.007,0.88,0.48
DGRP_721,9.922,10.207,0.16,0.16
DGRP_727,9.202,10.189,0.96,0.52
DGRP_73,9.274,10.015,0.92,0.44
DGRP_730,9.554,9.874,0.94,0.56
DGRP_732,9.739,10.492,0.66,0.94
DGRP_737,9.153,9.956,0.84,0.60
DGRP_738,9.679,10.552,0.96,0.48
DGRP_748,9.442,10.215,0.68,0.56
DGRP_75,9.307,10.049,0.80,0.84
DGRP_757,9.712,10.262,0.60,0.44
DGRP_761,9.373,10.053,0.44,0.40
DGRP_765,8.846,9.462,0.60,0.80
DGRP_774,9.282,9.548,0.86,0.60
DGRP_776,9.514,10.050,0.80,0.12
DGRP_783,9.582,10.129,1.00,0.54
DGRP_786,9.549,9.794,0.69,0.32
DGRP_787,9.213,9.812,0.44,0.20
DGRP_790,8.914,9.265,0.60,0.04
DGRP_796,9.499,9.864,0.80,0.36
DGRP_799,9.262,9.904,0.84,0.46
DGRP_801,9.289,9.824,0.96,0.80
DGRP_802,9.096,9.758,0.88,0.44
DGRP_804,9.617,10.212,0.76,0.64
DGRP_805,9.620,10.278,0.68,0.92
DGRP_808,9.056,9.328,0.64,0.80
DGRP_810,9.434,9.927,0.60,0.32
DGRP_812,9.681,10.224,0.36,0.68
DGRP_818,9.536,10.029,0.84,0.40
DGRP_819,9.022,9.679,0.88,0.44
DGRP_820,9.811,10.109,0.62,0.31
DGRP_821,9.504,10.170,0.64,0.08
DGRP_822,10.037,10.373,0.80,0.28
DGRP_83,9.103,9.738,0.72,0.76
DGRP_832,9.709,10.252,0.80,0.60
DGRP_837,9.406,9.820,0.92,0.44
DGRP_843,9.173,9.639,0.96,0.44
DGRP_849,9.581,10.189,0.96,0.84
DGRP_85,9.373,10.290,0.44,0.64
DGRP_850,9.519,10.252,0.84,0.40
DGRP_852,9.751,10.334,0.74,0.61
DGRP_853,9.544,10.152,0.88,0.68
DGRP_855,9.829,10.217,1.00,0.64
DGRP_857,8.959,9.655,0.96,0.76
DGRP_861,9.522,10.008,0.84,0.76
DGRP_88,9.313,10.292,0.76,0.36
DGRP_882,9.412,9.675,0.88,0.32
DGRP_884,9.569,10.315,0.76,0.64
DGRP_890,9.000,9.911,0.96,0.24
DGRP_892,9.368,10.188,0.83,0.80
DGRP_894,9.762,10.490,0.80,0.48
DGRP_897,9.516,10.090,0.92,0.76
DGRP_900,9.569,10.124,0.96,0.84
DGRP_907,9.589,10.014,0.84,0.56
DGRP_908,9.199,9.785,0.72,0.80
DGRP_91,9.206,9.770,0.76,0.52
DGRP_911,9.552,10.200,0.76,0.56
DGRP_913,9.335,9.931,0.88,0.44
DGRP_93,9.524,10.133,0.56,0.12