gen,control1,control2,select1,select2
0,0.337,,,
1,0.297,,0.330,0.343
2,0.327,,0.420,0.420
3,0.297,,0.390,0.303
4,0.213,,0.300,0.270
5,0.280,0.227,0.447,0.390
6,0.373,0.300,0.470,0.413
7,0.207,0.153,0.367,0.373
8,0.353,0.287,0.423,0.350
9,0.193,0.213,0.327,0.347
10,0.300,0.153,0.487,0.383
11,0.240,0.187,0.393,0.347
12,0.280,0.113,0.443,0.307
13,0.313,0.193,0.453,0.357
14,0.147,0.140,0.300,0.277
15,0.347,0.273,0.513,0.520
16,0.167,0.173,0.453,0.343
17,0.147,0.080,0.350,0.277
18,0.240,0.167,0.403,0.400