DGRP_101,587.82,257.23,12.08,18.62,74.43,14.01,1.76,0.96
DGRP_105,543.34,364.09,16.15,18.07,53.81,24.21,1.30,0.40
DGRP_109,342.93,160.07,12.72,14.08,30.97,11.54,1.31,0.72
DGRP_129,624.32,359.26,10.55,24.57,81.09,15.05,1.15,0.56
DGRP_136,662.90,412.66,6.93,23.24,134.55,19.44,1.39,0.26
DGRP_138,657.50,411.61,7.18,23.50,239.98,23.61,1.11,0.84
DGRP_142,521.85,195.77,16.80,14.45,48.58,14.18,1.31,0.88
DGRP_149,517.80,197.59,10.49,17.53,95.82,13.67,1.28,1.00
DGRP_153,501.01,207.24,9.05,17.69,158.91,12.20,1.52,0.87
DGRP_158,666.68,417.42,6.19,28.14,220.32,16.64,1.29,0.32
DGRP_161,509.88,137.70,8.44,9.94,144.05,20.82,1.21,0.92
DGRP_176,443.16,307.14,12.69,26.62,57.35,12.01,1.27,0.36
DGRP_177,336.59,106.92,13.04,7.48,29.08,16.44,1.62,0.76
DGRP_181,610.46,329.88,9.84,19.70,113.43,19.94,1.05,0.40
DGRP_195,580.98,339.48,19.63,22.51,53.97,15.61,1.44,0.96
DGRP_208,497.67,299.91,15.29,15.22,44.95,21.58,1.77,0.86
DGRP_21,603.92,489.26,11.01,28.16,78.41,22.21,1.23,0.90
DGRP_217,594.86,357.02,11.26,27.28,122.32,15.25,1.19,0.84
DGRP_227,641.74,189.55,9.73,18.57,161.89,10.59,1.45,0.88
DGRP_228,637.28,253.08,14.26,20.15,107.69,12.43,1.11,0.96
DGRP_229,413.46,160.03,15.81,17.38,33.46,10.51,1.25,0.64
DGRP_233,653.92,317.46,10.08,30.45,119.95,10.66,1.31,0.92
DGRP_235,687.93,469.78,8.11,28.44,189.62,20.76,1.18,0.80
DGRP_237,601.74,410.65,5.96,19.83,165.11,25.59,1.47,0.92
DGRP_239,584.07,393.08,13.96,21.33,57.53,19.92,1.40,0.12
DGRP_256,647.91,374.46,7.74,14.85,164.05,33.77,1.55,0.72
DGRP_26,595.39,408.28,9.30,26.78,95.45,16.03,1.25,0.84
DGRP_28,503.15,281.63,14.54,19.08,57.68,19.68,1.29,0.52
DGRP_280,488.26,217.09,11.41,19.88,81.90,11.14,1.50,0.44
DGRP_287,643.99,258.30,4.25,17.73,251.87,16.28,0.87,0.92
DGRP_301,506.55,184.98,13.28,13.09,51.86,19.08,1.80,0.36
DGRP_303,460.01,180.46,10.29,15.58,91.23,36.04,1.46,0.84
DGRP_304,529.89,292.06,9.89,15.01,93.21,24.42,1.50,0.70
DGRP_306,590.61,317.13,8.15,18.97,114.12,18.15,1.40,0.60
DGRP_307,597.66,398.60,14.41,22.79,78.95,19.09,1.50,0.36
DGRP_309,469.10,205.81,10.46,22.03,74.30,9.18,1.38,0.56
DGRP_310,316.00,241.64,21.42,22.17,16.40,11.17,1.22,1.00
DGRP_313,688.71,176.88,7.34,13.33,279.47,14.25,1.71,0.41
DGRP_315,504.45,468.99,15.73,17.39,49.34,32.82,1.62,0.27
DGRP_317,622.96,241.47,8.83,18.13,116.08,14.94,1.20,0.96
DGRP_318,623.77,479.71,8.60,29.68,166.26,18.18,1.03,0.96
DGRP_320,579.34,312.32,10.03,22.81,88.74,14.21,1.04,0.72
DGRP_321,565.71,198.49,12.88,12.68,72.66,17.41,1.08,0.04
DGRP_324,628.66,340.92,12.38,18.87,123.90,21.32,1.49,0.94
DGRP_325,474.98,155.92,13.09,14.91,82.77,11.31,1.37,0.68
DGRP_332,583.68,283.20,8.62,20.64,113.94,14.28,1.43,0.90
DGRP_335,675.08,639.82,7.37,18.28,184.26,50.83,2.48,0.74
DGRP_338,678.09,399.72,4.15,14.98,360.25,35.89,1.58,0.52
DGRP_350,591.24,465.99,9.15,22.99,101.75,22.92,1.42,0.56
DGRP_352,545.67,265.85,17.10,17.18,48.25,17.03,1.35,0.84
DGRP_356,496.41,267.00,15.27,17.89,58.23,15.62,1.24,0.64
DGRP_357,550.58,118.18,11.20,10.36,114.34,15.15,1.76,0.64
DGRP_358,645.82,360.05,8.08,18.01,191.41,26.28,1.42,0.42
DGRP_359,669.14,254.10,6.89,20.60,244.36,11.91,1.34,0.92
DGRP_360,614.72,414.17,8.07,21.69,130.53,22.23,1.56,0.60
DGRP_362,549.41,463.10,12.13,15.17,65.50,34.72,1.12,0.96
DGRP_365,325.14,304.83,11.00,19.02,44.89,20.70,1.39,0.57
DGRP_367,520.57,336.98,10.99,20.30,72.08,17.84,1.70,0.80
DGRP_370,476.29,233.36,22.80,20.03,25.75,12.99,1.11,0.96
DGRP_371,484.28,202.40,16.39,20.65,47.84,10.17,1.18,0.84
DGRP_373,509.88,266.41,15.06,17.57,49.56,15.43,1.24,0.92
DGRP_374,410.07,206.41,17.65,19.22,39.05,10.68,1.53,0.58
DGRP_375,491.25,432.56,13.79,19.60,64.16,26.34,1.41,0.70
DGRP_377,584.19,177.20,9.16,14.28,113.74,13.39,1.51,0.72
DGRP_379,673.08,538.35,6.52,21.09,262.39,30.24,1.19,0.46
DGRP_38,187.86,218.48,12.93,22.22,15.38,10.00,1.13,0.96
DGRP_380,618.91,320.18,7.42,17.18,172.87,19.83,1.20,0.32
DGRP_381,571.37,123.92,13.37,9.33,119.22,16.70,1.56,0.40
DGRP_383,602.56,246.64,7.66,16.35,181.46,16.71,1.87,0.96
DGRP_386,618.77,94.16,5.54,10.82,287.71,8.65,1.73,0.96
DGRP_391,633.44,365.03,12.92,29.06,105.79,12.97,1.36,0.82
DGRP_392,671.40,205.26,6.37,17.32,283.05,11.54,1.36,0.72
DGRP_399,461.67,431.47,15.26,34.97,66.43,12.89,1.24,0.58
DGRP_40,526.02,398.38,17.33,20.22,62.63,36.86,1.25,0.76
DGRP_405,527.05,391.31,19.02,30.93,48.83,13.02,1.29,0.84
DGRP_406,532.21,151.62,14.84,15.10,93.49,10.68,1.09,0.84
DGRP_409,674.69,555.94,8.05,20.16,144.00,36.48,1.71,0.88
DGRP_41,654.14,369.10,3.70,18.64,319.45,22.13,1.50,0.56
DGRP_42,413.61,218.17,25.04,19.37,17.25,11.03,1.78,0.68
DGRP_426,639.29,404.73,8.80,21.94,154.49,22.36,1.39,0.52
DGRP_427,579.02,430.04,12.61,26.98,69.41,17.26,1.41,0.78
DGRP_437,469.12,303.53,13.83,15.63,60.51,22.28,1.66,0.60
DGRP_439,650.01,366.36,6.13,17.33,193.85,32.50,1.47,0.48
DGRP_440,569.14,301.02,14.45,24.96,102.29,12.41,1.23,1.00
DGRP_441,526.03,209.79,13.66,17.78,57.27,13.38,1.37,1.00
DGRP_443,447.06,153.17,16.94,17.95,40.13,7.92,1.06,0.92
DGRP_45,584.56,364.93,15.80,23.24,60.21,17.35,1.33,0.20
DGRP_461,647.99,161.51,3.66,10.85,363.89,15.56,1.59,0.64
DGRP_486,530.12,422.02,10.26,19.54,79.84,25.64,1.09,0.59
DGRP_49,502.88,440.30,18.10,25.42,39.79,19.27,1.19,1.00
DGRP_491,632.01,526.69,5.29,17.92,258.33,40.82,1.50,0.52
DGRP_492,631.42,309.71,7.97,24.47,153.66,13.44,1.16,0.96
DGRP_502,617.57,285.11,9.53,21.99,104.93,13.41,1.21,0.67
DGRP_508,552.96,123.95,12.86,12.23,109.54,10.01,1.43,0.24
DGRP_509,565.17,480.83,18.74,25.66,81.69,21.48,1.09,0.56
DGRP_513,305.35,353.81,20.37,22.66,16.51,18.99,1.18,0.96
DGRP_517,561.99,337.33,9.15,24.97,127.50,13.85,1.43,0.55
DGRP_531,682.77,308.13,3.65,11.91,363.09,35.31,1.86,0.44
DGRP_535,582.39,254.76,7.77,15.67,136.82,25.36,1.39,0.92
DGRP_555,556.22,198.36,14.14,17.79,71.34,15.33,1.15,0.76
DGRP_563,426.05,201.75,16.47,17.35,36.46,11.55,1.36,0.90
DGRP_57,582.26,158.39,7.73,14.87,157.38,10.03,1.54,1.00
DGRP_589,475.63,343.02,16.53,25.34,37.51,14.86,1.16,0.96
DGRP_59,582.45,331.03,13.82,21.89,76.49,18.20,1.45,0.76
DGRP_595,419.46,127.03,22.50,12.65,21.94,9.83,1.83,0.88
DGRP_639,606.82,564.20,14.93,24.30,57.42,26.38,1.51,0.47
DGRP_642,686.08,481.97,5.51,20.21,268.23,32.09,1.19,0.68
DGRP_646,688.09,497.06,4.79,23.94,314.77,23.80,2.09,0.08
DGRP_69,557.79,379.80,5.49,17.22,184.72,27.86,1.47,0.50
DGRP_703,428.71,320.59,16.16,19.34,39.77,18.96,1.70,0.68
DGRP_705,631.56,545.07,7.50,24.05,147.17,26.63,1.39,0.32
DGRP_707,612.60,544.75,10.28,16.13,102.61,44.18,1.73,0.24
DGRP_712,537.53,260.82,16.88,18.81,43.54,14.95,1.06,0.60
DGRP_714,600.43,509.15,14.21,25.63,76.42,24.52,1.51,0.71
DGRP_716,669.69,311.91,3.79,17.46,307.56,21.44,1.56,0.88
DGRP_721,444.35,297.03,17.12,18.82,47.60,21.87,1.26,0.16
DGRP_727,520.83,266.33,15.71,22.45,43.54,12.19,1.39,0.96
DGRP_73,642.40,395.53,8.49,25.11,141.53,17.14,1.19,0.92
DGRP_730,540.95,240.18,23.16,24.79,31.00,9.31,1.20,0.94
DGRP_732,540.66,405.28,10.09,20.14,100.66,24.52,1.41,0.66
DGRP_737,609.83,396.58,9.57,21.24,121.11,20.84,1.48,0.84
DGRP_738,538.83,184.37,7.30,21.09,178.84,8.54,1.10,0.96
DGRP_75,379.44,215.34,16.93,22.21,28.75,9.90,1.67,0.80
DGRP_757,597.57,367.40,12.54,28.59,108.83,33.65,1.30,0.60
DGRP_761,562.53,302.81,18.08,25.64,43.68,12.28,1.23,0.44
DGRP_765,579.01,343.88,14.06,27.01,150.55,12.99,1.40,0.60
DGRP_774,606.06,404.92,7.08,17.46,228.18,28.12,1.61,0.86
DGRP_776,619.28,265.02,10.91,19.23,110.39,14.20,1.22,0.80
DGRP_783,651.17,155.77,8.23,16.19,182.76,8.98,1.15,1.00
DGRP_786,660.50,582.04,9.07,25.88,99.47,25.97,1.45,0.69
DGRP_787,637.83,367.30,8.65,28.43,140.43,13.28,1.26,0.44
DGRP_790,610.19,299.51,14.79,25.70,60.45,11.88,1.28,0.60
DGRP_796,433.70,142.62,19.45,10.36,30.80,15.86,2.13,0.80
DGRP_799,588.40,232.53,8.28,13.76,150.64,18.15,1.36,0.84
DGRP_801,636.64,370.87,7.59,29.48,173.95,13.16,0.97,0.96
DGRP_802,623.99,309.39,8.87,22.08,173.62,15.21,1.10,0.88
DGRP_804,519.87,204.30,15.58,19.58,52.99,10.23,1.37,0.76
DGRP_805,488.18,263.89,15.50,23.11,92.29,11.72,1.27,0.68
DGRP_808,220.92,264.96,13.68,22.77,18.64,11.98,1.13,0.64
DGRP_810,460.75,251.42,18.16,24.74,38.51,14.27,1.20,0.60
DGRP_812,617.56,346.29,7.90,17.84,139.76,22.84,1.01,0.36
DGRP_818,603.59,309.01,18.72,25.44,49.98,12.59,1.15,0.84
DGRP_820,497.31,209.25,8.22,15.52,116.56,13.73,1.43,0.62
DGRP_822,308.04,419.33,18.53,34.82,19.74,12.48,1.27,0.80
DGRP_83,561.43,417.39,9.70,16.27,109.71,28.79,2.04,0.72
DGRP_832,121.91,200.21,10.67,19.66,9.53,9.75,1.19,0.80
DGRP_837,658.89,269.23,7.74,22.94,191.52,12.14,1.26,0.92
DGRP_85,595.17,201.79,10.16,16.93,112.97,13.35,1.25,0.44
DGRP_852,458.46,222.97,16.58,19.09,34.58,12.56,1.30,0.74
DGRP_855,430.64,458.75,23.72,29.47,22.61,16.58,1.17,1.00
DGRP_857,621.23,233.14,9.63,14.08,120.65,20.52,1.73,0.96
DGRP_859,560.12,277.69,11.58,15.85,114.83,26.41,1.61,0.48
DGRP_861,555.04,154.40,7.58,11.31,185.80,14.20,1.41,0.84
DGRP_879,572.09,376.41,6.85,23.30,137.15,17.11,1.33,0.76
DGRP_88,635.10,348.05,7.22,23.07,167.79,16.29,1.19,0.76
DGRP_882,477.97,276.44,22.40,23.12,31.70,12.75,1.20,0.88
DGRP_884,527.23,290.86,15.51,19.72,60.16,15.42,1.58,0.76
DGRP_887,604.59,229.95,10.98,18.80,117.46,32.59,1.15,0.96
DGRP_890,544.69,268.08,16.68,23.64,41.65,11.86,1.24,0.96
DGRP_892,670.30,401.33,5.06,27.03,260.79,15.91,1.13,0.83
DGRP_894,540.62,265.52,22.07,24.68,30.57,10.83,1.23,0.80
DGRP_897,341.82,302.28,8.68,21.15,51.87,14.85,1.53,0.92
DGRP_907,616.17,318.30,11.17,21.52,88.79,15.81,0.99,0.84
DGRP_908,530.67,315.82,12.94,23.90,65.47,13.87,1.03,0.72
DGRP_91,545.82,352.99,16.34,21.10,50.77,18.60,1.40,0.76
DGRP_911,410.15,256.71,18.44,20.22,28.87,13.46,1.35,0.76
DGRP_93,530.63,288.73,13.18,19.47,64.50,15.95,1.58,0.56